Stnno,Year,Month,Day,Rainfall,Day mean wind,Solar Radioation ( MJm-2)
48650,2008,5,5,0.0,1.5,17.73
48650,2008,5,6,4.8,1.3,13.63
48650,2008,5,7,0.0,1.5,16.60
48650,2008,5,8,0.0,1.2,12.74
48650,2008,5,9,2.6,1.1,16.12
48650,2008,5,10,0.0,1.3,22.51
48650,2008,5,11,0.0,1.1,14.98
48650,2008,5,12,0.0,1.4,18.38
48650,2008,5,13,0.0,1.5,20.94
48650,2008,5,14,0.0,1.7,17.49
48650,2008,5,15,0.0,1.5,19.08
48650,2008,5,16,0.0,1.8,20.52
48650,2008,5,17,0.0,1.4,19.10
48650,2008,5,18,69.0,1.5,7.09
48650,2008,5,19,0.0,1.9,17.37
48650,2008,5,20,0.0,1.4,17.74
48650,2008,5,21,0.0,1.6,15.05
48650,2008,5,22,0.0,1.7,16.51
48650,2008,5,23,0.0,1.8,18.31
48650,2008,5,24,0.0,1.4,15.63
48650,2008,5,25,0.0,1.4,12.36
48650,2008,5,26,0.0,1.3,14.75
48650,2008,5,27,1.6,2.2,17.86
48650,2008,5,28,0.0,2.0,18.20
48650,2008,5,29,0.0,2.2,16.39
48650,2008,5,30,3.8,1.5,15.05
48650,2008,5,31,0.0,1.9,19.00
48650,2008,6,1,0.0,1.7,18.20
48650,2008,6,2,10.2,1.4,10.61
48650,2008,6,3,0.0,1.7,13.09
48650,2008,6,4,0.0,1.4,15.26
48650,2008,6,5,0.0,1.5,16.30
48650,2008,6,6,0.0,1.4,18.69
48650,2008,6,7,103.2,1.5,12.26
48650,2008,6,8,1.8,2.1,10.23
48650,2008,6,9,0.0,1.5,18.82
48650,2008,6,10,3.0,1.4,17.28
48650,2008,6,11,0.0,1.9,18.64
48650,2008,6,12,0.0,1.8,19.96
48650,2008,6,13,0.0,1.5,22.51
48650,2008,6,14,0.0,2.1,14.03
48650,2008,6,15,0.0,1.8,17.53
48650,2008,6,16,22.2,1.9,8.62
48650,2008,6,17,0.0,2.1,22.14
48650,2008,6,18,1.2,1.7,8.81
48650,2008,6,19,0.0,2.0,17.42
48650,2008,6,20,0.0,1.6,20.18
48650,2008,6,21,0.0,1.7,14.40
48650,2008,6,22,0.0,1.5,13.58
48650,2008,6,23,0.0,1.6,15.32
48650,2008,6,24,13.6,2.1,6.00
48650,2008,6,25,0.0,2.4,-1.11
48650,2008,6,26,0.0,2.4,-1.11
48650,2008,6,27,0.0,1.6,-1.11
48650,2008,6,28,0.0,1.6,-1.11
48650,2008,6,29,11.6,2.2,-1.11
48650,2008,6,30,33.0,1.0,-1.11
48650,2008,7,1,0.0,1.8,-1.11
48650,2008,7,2,0.0,2.1,-1.11
48650,2008,7,3,0.6,1.3,-1.11
48650,2008,7,4,0.0,2.2,-1.11
48650,2008,7,5,0.0,2.5,-1.11
48650,2008,7,6,0.0,2.5,-1.11
48650,2008,7,7,10.0,3.1,-1.11
48650,2008,7,8,3.6,2.4,-1.11
48650,2008,7,9,0.0,2.0,-1.11
48650,2008,7,10,31.2,1.7,-1.11
48650,2008,7,11,0.0,1.4,-1.11
48650,2008,7,12,0.0,1.8,-1.11
48650,2008,7,13,3.6,1.9,-1.11
48650,2008,7,14,2.8,1.2,-1.11
48650,2008,7,15,1.8,1.4,-1.11
48650,2008,7,16,23.8,1.4,-1.11
48650,2008,7,17,32.0,2.1,-1.11
48650,2008,7,18,0.0,2.4,-1.11
48650,2008,7,19,22.8,2.6,-1.11
48650,2008,7,20,0.4,1.4,-1.11
48650,2008,7,21,0.0,1.6,-1.11
48650,2008,7,22,6.6,1.5,-1.11
48650,2008,7,23,0.0,1.7,-1.11
48650,2008,7,24,0.0,1.5,-1.11
48650,2008,7,25,0.2,1.7,-1.11
48650,2008,7,26,0.0,2.2,-1.11
48650,2008,7,27,0.0,2.2,-1.11
48650,2008,7,28,0.0,1.7,-1.11
48650,2008,7,29,0.0,1.4,-1.11
48650,2008,7,30,0.0,3.0,-1.11
48650,2008,7,31,0.0,3.0,-1.11
48650,2008,8,1,0.0,3.0,-1.11
48650,2008,8,2,0.6,2.2,-1.11
48650,2008,8,3,2.6,2.1,-1.11
48650,2008,8,4,0.0,2.9,-1.11
48650,2008,8,5,0.4,2.2,-1.11
48650,2008,8,6,24.0,3.1,-1.11
48650,2008,8,7,2.6,1.9,-1.11
48650,2008,8,8,0.0,2.3,-1.11
48650,2008,8,9,0.0,2.2,-1.11
48650,2008,8,10,0.0,2.2,-1.11
48650,2008,8,11,0.0,2.5,-1.11
48650,2008,8,12,0.0,1.6,-1.11
48650,2008,8,13,0.0,1.9,-1.11
48650,2008,8,14,0.0,2.2,-1.11
48650,2008,8,15,0.0,2.2,-1.11
48650,2008,8,16,0.0,2.5,-1.11
48650,2008,8,17,0.0,2.3,-1.11
48650,2008,8,18,8.0,1.9,-1.11
48650,2008,8,19,0.0,1.5,-1.11
48650,2008,8,20,0.0,1.9,-1.11
48650,2008,8,21,13.8,1.1,-1.11
48650,2008,8,22,11.6,1.3,-1.11
48650,2008,8,23,0.0,1.5,-1.11
48650,2008,8,24,33.6,1.5,-1.11
48650,2008,8,25,0.4,1.7,-1.11
48650,2008,8,26,1.6,2.2,-1.11
48650,2008,8,27,33.0,1.6,-1.11
48650,2008,8,28,3.2,1.2,-1.11
48650,2008,8,29,0.0,1.3,-1.11
48650,2008,8,30,0.0,1.6,-1.11
48650,2008,8,31,0.0,1.4,-1.11
48650,2008,9,1,6.2,1.8,-1.11
48650,2008,9,2,0.0,1.4,-1.11
48650,2008,9,3,0.4,1.4,-1.11
